author,degree,betweenness,closeness,eigenvector
Manuel Araoz,0.015151515151515152,0.0,0.015151515151515152,1.4267963834973028e-48
Ryan X. Charles,0.015151515151515152,0.0,0.015151515151515152,1.4267963834973028e-48
Matias Alejo Garcia,0.015151515151515152,0.0,0.015151515151515152,1.4267963834973028e-48
Tom Harding,0.015151515151515152,0.0,0.015151515151515152,1.4267963834973028e-48
Dagur Valberg Johannsson,0.015151515151515152,0.0,0.015151515151515152,1.4267963834973028e-48
Olaoluwa Osuntokun,0.015151515151515152,0.0,0.015151515151515152,1.4267963834973028e-48
Alex Akselrod,0.015151515151515152,0.0,0.015151515151515152,1.4267963834973028e-48
Jim Posen,0.015151515151515152,0.0,0.015151515151515152,1.4267963834973028e-48
Luke Dashjr,0.015151515151515152,0.00011566042100393245,0.015151515151515152,1.8748365910657134e-62
Shaolin Fry,0.007575757575757576,0.0,0.0101010101010101,1.325709667159236e-62
Emil Engler,0.007575757575757576,0.0,0.0101010101010101,1.325709667159236e-62
Amir Taaki,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Patrick Strateman,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Chris Belcher,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Thebora Kompanioni,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Justus Ranvier,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Michael Dubrovsky,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Bogdan Penkovsky,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Jimmy Song,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Ethan Kosakovsky,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Aneesh Karve,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Jeremy Rubin,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
Omar Shibli,0.007575757575757576,0.0,0.007575757575757576,1.2383849334547261e-74
